No,StateCode,State,Sample_Size,RSMR,exp_mortality,obs_mortality,RelativeRisk,Lower_Bound,Upper_Bound,P_value,Year
1,SD,South Dakota,389,14.66973627,17.17375291,11.05398458,1.1147,0.9844,1.2622,0.0849,2004
2,OH,Ohio,6857,15.11123115,17.53079845,13.95654076,0.8126,0.7091,0.9312,0.0039,2004
3,MI,Michigan,3560,15.8667814,17.74931572,14.7752809,1.0804,1.0196,1.1447,0.0102,2004
4,CO,Colorado,2162,15.87799881,17.80277843,14.70860315,0.7488,0.6535,0.8579,0.0001,2004
5,VA,Virginia,3880,16.22653901,18.28059217,15.6185567,1.1153,0.9987,1.2456,0.0527,2004
6,MN,Minnesota,1700,16.4502204,15.93436028,13.64705882,0.9127,0.8608,0.9677,0.0031,2004
7,AZ,Arizona,2005,16.63005278,18.0508178,15.71072319,1.118,1.0248,1.2196,0.0134,2004
8,IN,Indiana,3263,16.79205037,18.46345443,16.33466136,1.0237,0.8065,1.2993,0.8435,2004
9,WA,Washington,2328,17.33108513,18.15388517,16.58075601,0.9049,0.7467,1.0966,0.2986,2004
10,UT,Utah,651,17.47595111,16.83044197,15.20737327,0.9313,0.8607,1.0078,0.0756,2004
11,IA,Iowa,974,17.55781996,13.24148232,12.11498973,0.8199,0.7338,0.916,0.0009,2004
12,MD,Maryland,5040,17.58418728,18.93415799,17.63888889,1.1446,0.9731,1.3463,0.1001,2004
13,TX,Texas,11854,17.69956432,18.80984739,17.6733592,1.09,0.9658,1.2301,0.1571,2004
14,FL,Florida,13411,17.84543326,18.83831139,17.85101782,1.1555,1.0644,1.2544,0.001,2004
15,IL,Illinois,6051,18.04612334,19.89593519,19.0547017,0.8866,0.8102,0.9702,0.0102,2004
16,NE,Nebraska,470,18.20608107,14.10541647,13.40425532,0.7474,0.6696,0.8342,<.0001,2004
17,WI,Wisconsin,1567,18.41358534,16.02851173,15.63497128,0.8143,0.7018,0.9449,0.0082,2004
18,HI,Hawaii,400,19.05750452,20.84446119,21.25,1.0645,0.9553,1.1863,0.2492,2004
19,MO,Missouri,3113,19.52791361,17.16349861,17.86058465,1.1933,1.1015,1.2927,<.0001,2004
20,CA,California,12953,19.58386223,21.40034157,22.28827299,0.9524,0.7469,1.2143,0.6861,2004
21,NH,New Hampshire,616,19.58769581,17.06699225,18.01948052,1.0682,0.866,1.3177,0.5276,2004
22,NV,Nevada,1269,19.61793546,21.84881296,22.93144208,1.2752,1.1807,1.3774,<.0001,2004
23,KY,Kentucky,2299,19.86491367,16.80824613,17.8338408,1.0848,0.9308,1.2643,0.2883,2004
24,CT,Connecticut,2895,20.07915958,17.26641262,18.51468048,1.5288,1.4478,1.6143,<.0001,2004
25,AR,Arkansas,2266,20.17655935,15.4510022,16.68137688,0.6989,0.6432,0.7593,<.0001,2004
26,GA,Georgia,5163,20.18961107,15.58427319,16.77319388,1.1986,1.027,1.3989,0.0228,2004
27,RI,Rhode Island,422,20.33082467,13.8529384,15.63981043,1.128,0.8795,1.4467,0.333,2004
28,KS,Kansas,1261,20.39106296,15.86601331,17.44647106,1.3828,1.1952,1.5998,<.0001,2004
29,MA,Massachusetts,5820,20.56520666,15.94978717,17.49140894,0.6796,0.5236,0.8819,0.0048,2004
30,TN,Tennessee,5366,20.68947297,17.12362192,18.89675736,1.167,1.0746,1.2674,0.0005,2004
31,VT,Vermont,542,20.85783104,18.76012384,21.58671587,0.9002,0.8465,0.9573,0.0014,2004
32,NC,North Carolina,5935,21.02147115,15.95343127,17.89385004,0.8891,0.7192,1.099,0.2682,2004
33,OR,Oregon,1326,21.12226423,15.36638712,17.57164404,0.7851,0.7095,0.8688,<.0001,2004
34,WV,West Virginia,1010,21.3863896,14.0618271,16.43564356,1.1997,0.9685,1.4862,0.0931,2004
35,NJ,New Jersey,5444,21.54027268,21.24844516,24.43056576,0.8698,0.7669,0.9867,0.031,2004
36,NY,New York,12654,23.40777614,21.95351291,27.39054844,0.9665,0.8325,1.1221,0.6463,2004
37,SC,South Carolina,1491,23.4406856,13.47915598,17.30382294,1.2145,1.0185,1.4481,0.0314,2004
1,CO,Colorado,2192,13.58481501,18.07908512,13.27554745,1.3583,1.1922,1.5476,<.0001,2005
2,MD,Maryland,5984,14.5591988,18.9794963,15.24064171,0.7293,0.656,0.8107,<.0001,2005
3,OH,Ohio,8481,14.69180981,16.1367421,13.0998703,1.0673,1.0124,1.1251,0.017,2005
4,AZ,Arizona,4130,14.8816758,16.91430149,13.84987894,0.6165,0.5341,0.7116,<.0001,2005
5,CT,Connecticut,2630,14.96661603,17.99023974,14.75285171,0.7296,0.6423,0.8288,<.0001,2005
6,MI,Michigan,4581,15.36149523,16.56638639,14.03623663,0.8092,0.7617,0.8596,<.0001,2005
7,MN,Minnesota,2021,15.46414768,14.39327835,12.17219198,1.0689,0.9855,1.1593,0.1048,2005
8,FL,Florida,13907,15.89427058,18.46902779,16.27238082,1.3286,0.9985,1.7676,0.0511,2005
9,WI,Wisconsin,2479,16.05172116,14.97802605,13.23114159,1.0398,0.872,1.2399,0.6554,2005
10,UT,Utah,717,16.05883186,13.57085692,11.71548117,0.9057,0.8377,0.9791,0.0142,2005
11,IN,Indiana,3835,16.11023933,17.00002661,15.12385919,0.8266,0.7423,0.9204,0.001,2005
12,OR,Oregon,1367,16.6640324,15.41360227,14.11850768,1.0577,0.8427,1.3276,0.6195,2005
13,RI,Rhode Island,466,16.72320824,16.16260218,14.59227468,1.0961,0.9772,1.2295,0.1138,2005
14,TX,Texas,13856,16.86105499,18.56460983,17.36431871,1.2822,1.1822,1.3906,<.0001,2005
15,NV,Nevada,578,16.88453338,22.69586522,20.93425606,0.692,0.6334,0.7561,<.0001,2005
16,IL,Illinois,6638,17.00370051,19.73446792,18.60500151,0.772,0.6985,0.8533,<.0001,2005
17,WA,Washington,1874,18.0723096,15.95084435,16.00853789,0.7951,0.6861,0.9214,0.0032,2005
18,MO,Missouri,4642,18.2619673,18.58350811,18.84963378,1.025,0.9344,1.1243,0.5919,2005
19,IA,Iowa,1239,18.52477839,12.34958788,12.75221953,1.1512,1.0621,1.2479,0.0011,2005
20,KS,Kansas,650,18.6477213,14.57595084,15.23076923,1.5543,1.1933,2.0245,0.0017,2005
21,CA,California,18518,18.6659795,19.56725484,20.28296792,1.278,1.064,1.5351,0.0101,2005
22,GA,Georgia,6307,18.74175006,17.00473236,17.71048042,1.2001,1.1116,1.2956,<.0001,2005
23,TN,Tennessee,5615,18.98597538,17.53142432,18.50400712,0.8862,0.7122,1.1028,0.27,2005
24,SD,South Dakota,66,18.99825839,8.608969262,10.60606061,1.3931,1.3206,1.4695,<.0001,2005
25,KY,Kentucky,2791,19.06889071,16.36391637,17.37728413,0.724,0.6697,0.7827,<.0001,2005
